crsyr,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords,flow
1980,"Apatzingán, Michoacán","Tijuana, Baja California del Norte","Orange County, CA ","(-102.46939679581978, 18.9681711)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-102.4693967958198 18.9681711, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1990,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.878113, 19.207098)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101.878113 19.207098, -117.0412813 32.5132984, -118.1362299 33.760599)"
1973,"Lázaro Cárdenas, Michoacán","Tijuana, Baja California del Norte","San Diego, CA ","(-102.48267153141994, 18.0825417)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-102.4826715314199 18.0825417, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1952,Michoacán,"Mexicali, Baja California del Norte","Fresno, CA ","(-101.878113, 19.207098)","(-115.506256, 32.658421)","(-119.7848307, 36.7394421)","LINESTRING (-101.878113 19.207098, -115.506256 32.658421, -119.7848307 36.7394421)"
1979,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.878113, 19.207098)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101.878113 19.207098, -117.0412813 32.5132984, -118.1362299 33.760599)"
1979,"La Barca, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-102.50327003201096, 20.35720795)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-102.503270032011 20.35720795, -117.0412813 32.5132984, -118.1362299 33.760599)"
1985,"Culiacan, Sinaloa","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-107.393395, 24.7978965)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-107.393395 24.7978965, -117.0412813 32.5132984, -118.1362299 33.760599)"
1980,"Carácuaro, Michoacán","Tijuana, Baja California del Norte","Bakersfield, CA ","(-101.0281627593262, 18.99991005)","(-117.0412813, 32.5132984)","(-119.0194639, 35.3738712)","LINESTRING (-101.0281627593262 18.99991005, -117.0412813 32.5132984, -119.0194639 35.3738712)"
1960,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.878113, 19.207098)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101.878113 19.207098, -117.0412813 32.5132984, -118.1362299 33.760599)"
1990,"Uruapan, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-102.03429004621862, 19.406043349999997)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-102.0342900462186 19.40604335, -117.0412813 32.5132984, -118.1362299 33.760599)"
1969,"Cherán, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.97585175354644, 19.7392956)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101.9758517535464 19.7392956, -117.0412813 32.5132984, -118.1362299 33.760599)"
1976,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-117.0412813, 32.5132984)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-117.0412813 32.5132984, -117.0412813 32.5132984, -118.1362299 33.760599)"
1989,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.878113, 19.207098)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101.878113 19.207098, -117.0412813 32.5132984, -118.1362299 33.760599)"
1987,"Uruapan, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-102.03429004621862, 19.406043349999997)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-102.0342900462186 19.40604335, -117.0412813 32.5132984, -118.1362299 33.760599)"
1986,"Paracho, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-102.05960988070461, 19.654276)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-102.0596098807046 19.654276, -117.0412813 32.5132984, -118.1362299 33.760599)"
1981,"Durango, Durango","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.6547415, 24.022008)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-104.6547415 24.022008, -117.0412813 32.5132984, -118.1362299 33.760599)"
1990,"Morelia, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-101.1923818, 19.7027116)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-101.1923818 19.7027116, -117.0412813 32.5132984, -118.1362299 33.760599)"
1988,"Apatzingán, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-102.46939679581978, 18.9681711)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-102.4693967958198 18.9681711, -117.0412813 32.5132984, -118.1362299 33.760599)"
1986,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-117.0412813, 32.5132984)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-117.0412813 32.5132984, -117.0412813 32.5132984, -118.1362299 33.760599)"
1984,"Los Reyes, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-102.36992498690617, 19.66322145)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-102.3699249869062 19.66322145, -117.0412813 32.5132984, -118.1362299 33.760599)"
1981,Guerrero,"Tijuana, Baja California del Norte","San Diego, CA ","(-100.0, 17.666667)","(-117.0412813, 32.5132984)","(-117.1627728, 32.7174202)","LINESTRING (-100 17.666667, -117.0412813 32.5132984, -117.1627728 32.7174202)"
1986,Michoacán,"Tijuana, Baja California del Norte","Orange County, CA ","(-101.878113, 19.207098)","(-117.0412813, 32.5132984)","(-117.8704931, 33.7500378)","LINESTRING (-101.878113 19.207098, -117.0412813 32.5132984, -117.8704931 33.7500378)"
1981,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.1269583, 19.2667215)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.1269583 19.2667215, -117.0412813 32.5132984, -118.1362299 33.760599)"
1988,"Querétaro, Querétaro","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-100.3970593, 20.5954708)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-100.3970593 20.5954708, -117.0412813 32.5132984, -118.1362299 33.760599)"
1988,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-117.0412813, 32.5132984)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-117.0412813 32.5132984, -117.0412813 32.5132984, -118.1362299 33.760599)"
1973,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.1269583, 19.2667215)","(-117.0412813, 32.5132984)","(-118.1362299, 33.760599)","LINESTRING (-99.1269583 19.2667215, -117.0412813 32.5132984, -118.1362299 33.760599)"
1969,Guanajuato,", Coahuila de Zaragoza","Ventura, CA ","(-101.0, 20.9876996)","(-101.0010806, 25.4120161)","(-119.0779359, 34.4458248)","LINESTRING (-101 20.9876996, -101.0010806 25.4120161, -119.0779359 34.4458248)"
1969,"Querétaro, Querétaro","Juárez, Chihuahua","San Jose, CA ","(-100.3970593, 20.5954708)","(-106.0277621, 28.6517723)","(-121.890583, 37.3361905)","LINESTRING (-100.3970593 20.5954708, -106.0277621 28.6517723, -121.890583 37.3361905)"
