crsyr1,origin_loc,cross_loc,us_loc
1979,Zacatecas,"Nuevo Laredo, Tamaulipas","Galveston-Texas City, TX "
1975,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1976,Zacatecas,"Tijuana, Baja California del Norte","Fresno, CA "
1953,Zacatecas,"Mexicali, Baja California del Norte",
1969,Zacatecas,"Juárez, Chihuahua",
1975,Zacatecas,"Tijuana, Baja California del Norte","Sacramento, CA "
1973,Zacatecas,"Tijuana, Baja California del Norte","Sacramento, CA "
1988,"Reynosa, Tamaulipas","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1989,"Apozol, Zacatecas","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1970,"Apozol, Zacatecas","Mexicali, Baja California del Norte","Bakersfield, CA "
1991,Zacatecas,"Tijuana, Baja California del Norte","San Francisco, CA "
1967,"Apozol, Zacatecas","Tijuana, Baja California del Norte","Merced, CA "
1976,"Apozol, Zacatecas","Tijuana, Baja California del Norte","Orange County, CA "
1991,"Apozol, Zacatecas","Tijuana, Baja California del Norte","Las Vegas, NV-AZ "
1978,Zacatecas,"Tecate, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,Zacatecas,"San Luis Río Colorado, Sonora","Los Angeles-Long Beach, CA "
1975,"Acayucan, Veracruz","Tijuana, Baja California del Norte",
1971,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1981,"Moyahua de Estrada, Zacatecas","Tijuana, Baja California del Norte",
1984,Zacatecas,"Nuevo Laredo, Tamaulipas","Houston, TX "
1974,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,Zacatecas,"Tijuana, Baja California del Norte",
1972,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1967,"Querétaro, Querétaro","Tijuana, Baja California del Norte",
1982,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,"Minatitlán, Colima","Tijuana, Baja California del Norte","Merced, CA "
1955,"Nochistlán de Mejía, Zacatecas","Reynosa, Tamaulipas",
1971,"Tecuala, Nayarit","Juárez, Chihuahua",
1965,"Moyahua de Estrada, Zacatecas","Juárez, Chihuahua",
1969,Zacatecas,"Tijuana, Baja California del Norte",
1991,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,"Apozol, Zacatecas","Tijuana, Baja California del Norte","Merced, CA "
1974,Zacatecas,"Tijuana, Baja California del Norte","Fresno, CA "
1986,"Apozol, Zacatecas","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,"Monclova, Coahuila de Zaragoza","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1972,"Apozol, Zacatecas","Tijuana, Baja California del Norte",
1984,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1977,"Mazatlán, Sinaloa","Matamoros, Tamaulipas","Miami, FL "
1979,"Mezqital del Oro, Zacatecas",", Coahuila de Zaragoza","Dallas, TX "
1951,"Culiacan, Sinaloa","Mexicali, Baja California del Norte",
1981,"Cajeme, Sonora","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1976,,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1970,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte","Orange County, CA "
1971,"Guaymas, Sonora","Nogales, Sonora","Sacramento, CA "
1944,"Moyahua de Estrada, Zacatecas","Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1957,"Mexicali, Baja California del Norte","Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1977,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1982,"Moyahua de Estrada, Zacatecas","Tijuana, Baja California del Norte","Fresno, CA "
1987,"Apozol, Zacatecas","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1969,Querétaro,"Tijuana, Baja California del Norte","Fresno, CA "
1972,", Zacatecas","Tijuana, Baja California del Norte","San Francisco, CA "
1975,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte",
1975,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1984,Zacatecas,"Mexicali, Baja California del Norte","Fresno, CA "
1973,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1983,"Acapulco de Juárez, Guerrero","Nuevo Laredo, Tamaulipas","Houston, TX "
1970,Zacatecas,"Mexicali, Baja California del Norte","Orange County, CA "
1973,Zacatecas,"Mexicali, Baja California del Norte","Los Angeles-Long Beach, CA "
1984,"Aguascalientes, Aguascalientes","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1970,"Ensenada, Baja California del Norte","Tijuana, Baja California del Norte",
1969,"Monterrey, Nuevo León","Nuevo Laredo, Tamaulipas","Houston, TX "
1986,", Zacatecas","Tijuana, Baja California del Norte","Sacramento, CA "
1967,"Jalpa, Zacatecas","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1971,Zacatecas,"Tijuana, Baja California del Norte",
1951,"Ciudad de México, Distrito Federal","San Luis Río Colorado, Sonora",
1979,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte",
1949,"Mexicali, Baja California del Norte","Mexicali, Baja California del Norte","Merced, CA "
1970,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1969,"Apozol, Zacatecas","Tijuana, Baja California del Norte",
1948,Zacatecas,"Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1965,"Mexicali, Baja California del Norte","Nogales, Sonora","Sacramento, CA "
1983,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1983,Nayarit,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1982,"León, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1972,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,Zacatecas,"Tijuana, Baja California del Norte","Sacramento, CA "
1987,"Mezqital del Oro, Zacatecas","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1991,", Hidalgo","Tijuana, Baja California del Norte",
1948,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1988,"Hidalgo, Michoacán","Tijuana, Baja California del Norte","Orange County, CA "
1988,Michoacán,"Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1960,Michoacán,"Mexicali, Baja California del Norte","Merced, CA "
1979,"Ciudad de México, Distrito Federal","Nuevo Laredo, Tamaulipas","Houston, TX "
1967,Michoacán,"Piedras Negras, Coahuila de Zaragoza","Santa Cruz-Watsonville, CA "
1942,"Taretan, Michoacán","Reynosa, Tamaulipas","McAllen-Edinburg-Mission, TX "
1991,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1983,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Merced, CA "
1986,Michoacán,"Tijuana, Baja California del Norte","San Jose, CA "
1970,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1952,Michoacán,"Tijuana, Baja California del Norte","Ventura, CA "
1972,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Fresno, CA "
1970,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1976,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Fresno, CA "
1971,"Arteaga, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1991,"Puruándiro, Michoacán","Tijuana, Baja California del Norte","Fresno, CA "
1986,Michoacán,"Tecate, Baja California del Norte","Orange County, CA "
1954,Michoacán,"San Luis Río Colorado, Sonora","McAllen-Edinburg-Mission, TX "
1952,"Ciudad de México, Distrito Federal","Camargo, Tamaulipas","Brownsville-Harlingen-San Benito, TX "
1976,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1971,Michoacán,"Piedras Negras, Coahuila de Zaragoza","Chicago, IL "
1989,"Apatzingán, Michoacán","Tijuana, Baja California del Norte","Washington, DC-MD-VA-WV "
1990,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","San Diego, CA "
1985,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,Michoacán,"Tijuana, Baja California del Norte","Chicago, IL "
1978,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1970,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1978,"Zacapu, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1982,"Guanajuato, Guanajuato","Tijuana, Baja California del Norte","San Diego, CA "
1983,"Lázaro Cárdenas, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1981,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1980,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1986,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,"Querétaro, Querétaro","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1988,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1989,Michoacán,"Tijuana, Baja California del Norte","Orange County, CA "
1988,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1988,,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,"Jungapeo, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1992,"La Barca, Jalisco","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1968,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1976,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1977,,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1970,"León, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1988,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,Jalisco,"Tijuana, Baja California del Norte","San Jose, CA "
1953,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1978,Jalisco,"Tijuana, Baja California del Norte","Orange County, CA "
1976,Jalisco,"Tecate, Baja California del Norte",
1975,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1970,"Manzanillo, Colima","Tijuana, Baja California del Norte","San Diego, CA "
1974,Jalisco,"Tijuana, Baja California del Norte","Fresno, CA "
1984,Jalisco,"Tijuana, Baja California del Norte","Washington, DC-MD-VA-WV "
1982,,"Piedras Negras, Coahuila de Zaragoza","Dallas, TX "
1977,"Manzanillo, Colima","Tijuana, Baja California del Norte",
1984,"Petatlán, Guerrero","Tijuana, Baja California del Norte",
1978,"Acajete, Puebla","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1979,"Manzanillo, Colima","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1942,Jalisco,"Mexicali, Baja California del Norte","Fresno, CA "
1979,"Colotlán, Jalisco","Tijuana, Baja California del Norte","Fresno, CA "
1975,"Autlán de Navarro, Jalisco","Tijuana, Baja California del Norte","Orange County, CA "
1993,Jalisco,"Tijuana, Baja California del Norte","Fresno, CA "
1989,,"Tijuana, Baja California del Norte","San Jose, CA "
1989,,"Tijuana, Baja California del Norte","Orange County, CA "
1989,,"Tijuana, Baja California del Norte","San Jose, CA "
1988,Guanajuato,"Tijuana, Baja California del Norte",
1953,"Gabriel Zamora, Michoacán","Reynosa, Tamaulipas","McAllen-Edinburg-Mission, TX "
1984,"Celaya, Guanajuato","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1965,"Manzanillo, Colima","Mexicali, Baja California del Norte","Santa Cruz-Watsonville, CA "
1983,Guanajuato,"Mexicali, Baja California del Norte","Los Angeles-Long Beach, CA "
1980,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1989,"Querétaro, Querétaro","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1946,"Acámbaro, Guanajuato","Reynosa, Tamaulipas","San Antonio, TX "
1989,Guanajuato,"Matamoros, Tamaulipas",
1986,"Apaseo El Alto, Guanajuato","Nuevo Laredo, Tamaulipas","San Antonio, TX "
1978,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1953,"Ciudad de México, Distrito Federal","Matamoros, Tamaulipas","San Antonio, TX "
1974,"Celaya, Guanajuato",", Coahuila de Zaragoza","Odessa-Midland, TX "
1958,"Santiago Maravatío, Guanajuato","Nuevo Laredo, Tamaulipas","San Antonio, TX "
1975,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1973,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte",
1987,Guanajuato,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1950,Guanajuato,"Mexicali, Baja California del Norte",
1980,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1969,Guanajuato,"Nuevo Laredo, Tamaulipas","Chicago, IL "
1988,"Moroleón, Guanajuato","Tijuana, Baja California del Norte",
1979,"Morelia, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1968,"Ciudad de México, Distrito Federal","San Luis Río Colorado, Sonora","Houston, TX "
1973,"Uriangato, Guanajuato","Miguel Alemán, Tamaulipas","San Antonio, TX "
1972,Guanajuato,"Nuevo Laredo, Tamaulipas","Brownsville-Harlingen-San Benito, TX "
1982,"San Juan del Río, Querétaro","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1992,"Ciudad de México, Distrito Federal","Nuevo Laredo, Tamaulipas","Phoenix-Mesa, AZ "
1984,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX "
1980,Guanajuato,"Tijuana, Baja California del Norte",
1967,"Ciudad de México, Distrito Federal","Mexicali, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1986,"Ciudad de México, Distrito Federal","Nuevo Laredo, Tamaulipas","Chicago, IL "
1987,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1984,Guanajuato,"Juárez, Chihuahua","Chicago, IL "
1975,"Uriangato, Guanajuato","Tijuana, Baja California del Norte",
1959,Guanajuato,"San Luis Río Colorado, Sonora",
1972,"Uriangato, Guanajuato","Tijuana, Baja California del Norte","San Antonio, TX "
1991,"Moroleón, Guanajuato","Tijuana, Baja California del Norte","Chicago, IL "
1943,Guanajuato,"Mexicali, Baja California del Norte",
1978,Guanajuato,"Matamoros, Tamaulipas","Houston, TX "
1978,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Chicago, IL "
1967,"Moroleón, Guanajuato","Reynosa, Tamaulipas",
1973,Guanajuato,"Reynosa, Tamaulipas","Brownsville-Harlingen-San Benito, TX "
1992,"Moroleón, Guanajuato","Tijuana, Baja California del Norte","Chicago, IL "
1973,Guanajuato,"Reynosa, Tamaulipas","Chicago, IL "
1991,Guanajuato,"Matamoros, Tamaulipas",
1979,"Ciudad de México, Distrito Federal","Matamoros, Tamaulipas","Houston, TX "
1980,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1981,Guanajuato,"Tijuana, Baja California del Norte","Fresno, CA "
1990,Guanajuato,"Matamoros, Tamaulipas",
1967,"Ciudad de México, Distrito Federal","Reynosa, Tamaulipas",
1978,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1975,"Ciudad de México, Distrito Federal","Matamoros, Tamaulipas","Chicago, IL "
1967,"Ciudad de México, Distrito Federal","Nogales, Sonora","Merced, CA "
1991,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1978,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Fresno, CA "
1988,Guanajuato,"Nuevo Laredo, Tamaulipas","Houston, TX "
1985,"Ciudad de México, Distrito Federal","Mexicali, Baja California del Norte","Los Angeles-Long Beach, CA "
1990,Guanajuato,"Tijuana, Baja California del Norte",
1992,Guanajuato,"Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA "
1989,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1989,Guanajuato,"Matamoros, Tamaulipas","Chicago, IL "
1990,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1981,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1963,"Ciudad de México, Distrito Federal","Piedras Negras, Coahuila de Zaragoza","Detroit, MI "
1978,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1988,Guanajuato,"Reynosa, Tamaulipas","Chicago, IL "
1980,Guanajuato,"Tijuana, Baja California del Norte","Chicago, IL "
1978,Jalisco,"Tijuana, Baja California del Norte","Miami, FL "
1972,,"Tecate, Baja California del Norte","Los Angeles-Long Beach, CA "
1974,Jalisco,"Nogales, Sonora",
1953,"Tijuana, Baja California del Norte","Mexicali, Baja California del Norte",
1979,Jalisco,"Tijuana, Baja California del Norte","Fresno, CA "
1970,,"Tijuana, Baja California del Norte","Fresno, CA "
1989,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1954,Jalisco,"Tijuana, Baja California del Norte","San Jose, CA "
1974,"Durango, Durango","Tijuana, Baja California del Norte","San Diego, CA "
1990,Jalisco,"Tijuana, Baja California del Norte",
1989,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1989,Jalisco,"Tijuana, Baja California del Norte","Santa Barbara-Santa Maria-Lompoc, CA "
1952,"Jala, Nayarit","Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1988,,"Tijuana, Baja California del Norte","Fresno, CA "
1984,,"Tijuana, Baja California del Norte","Vallejo-Fairfield-Napa, CA "
1979,Jalisco,"Tijuana, Baja California del Norte","Chicago, IL "
1990,,"Juárez, Chihuahua","Merced, CA "
1976,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1978,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1949,,"Reynosa, Tamaulipas","McAllen-Edinburg-Mission, TX "
1985,"Tepic, Nayarit","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1992,"Manzanillo, Colima","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1977,Jalisco,"Tijuana, Baja California del Norte","San Diego, CA "
1987,"Colima, Colima","Tijuana, Baja California del Norte","San Diego, CA "
1984,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1974,Jalisco,"Tijuana, Baja California del Norte","Sacramento, CA "
1973,,"Tijuana, Baja California del Norte","Merced, CA "
1977,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1974,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1949,"Tijuana, Baja California del Norte","Reynosa, Tamaulipas",
1979,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1990,Jalisco,"Tijuana, Baja California del Norte","Santa Barbara-Santa Maria-Lompoc, CA "
1968,"La Huacana, Michoacán","Tijuana, Baja California del Norte","Fresno, CA "
1962,Michoacán,"Tijuana, Baja California del Norte","San Diego, CA "
1982,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1986,"Lázaro Cárdenas, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1965,Michoacán,"Tijuana, Baja California del Norte","San Diego, CA "
1983,"Morelia, Michoacán","Miguel Alemán, Tamaulipas","Houston, TX "
1980,Michoacán,"Tijuana, Baja California del Norte","Orange County, CA "
1986,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","San Francisco, CA "
1958,"Los Reyes, Michoacán","Matamoros, Tamaulipas","San Antonio, TX "
1979,Michoacán,"Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1984,Michoacán,"Nuevo Laredo, Tamaulipas","Chicago, IL "
1979,"Apatzingán, Michoacán","Tijuana, Baja California del Norte","Merced, CA "
1990,"Lázaro Cárdenas, Michoacán","Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1975,", México","Juárez, Chihuahua",
1965,"Acapulco de Juárez, Guerrero","Tijuana, Baja California del Norte","San Diego, CA "
1976,"Pátzcuaro, Michoacán","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1977,"La Huacana, Michoacán","Tijuana, Baja California del Norte",
1968,"Venustiano Carranza, Michoacán","Nuevo Laredo, Tamaulipas",
1983,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1991,"Puruándiro, Michoacán","Tijuana, Baja California del Norte","San Francisco, CA "
1989,"Tancítaro, Michoacán","Tijuana, Baja California del Norte",
1990,"Múgica, Michoacán","Tijuana, Baja California del Norte",
1983,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1954,"Paracho, Michoacán","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1988,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1983,"Salvador Escalante, Michoacán","Tijuana, Baja California del Norte",
1986,"Los Reyes, Michoacán","Tijuana, Baja California del Norte","San Diego, CA "
1991,"Apatzingán, Michoacán","Tijuana, Baja California del Norte",
1948,"Manzanillo, Colima","Juárez, Chihuahua",
1979,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1952,"Pátzcuaro, Michoacán","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1977,Michoacán,"Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1979,"Carácuaro, Michoacán","Tijuana, Baja California del Norte","Merced, CA "
1988,"Parácuaro, Michoacán","Tijuana, Baja California del Norte","Orange County, CA "
1978,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Ventura, CA "
1976,"Ciudad de México, Distrito Federal","Mexicali, Baja California del Norte",
1990,Michoacán,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,Michoacán,"Ojinaga, Chihuahua","Orange County, CA "
1985,"Lázaro Cárdenas, Michoacán","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1985,Michoacán,"Tijuana, Baja California del Norte","Orange County, CA "
1987,Zacatecas,"Tijuana, Baja California del Norte","Merced, CA "
1965,Zacatecas,"Nogales, Sonora",
1978,Zacatecas,"Tijuana, Baja California del Norte",
1989,"Mexicali, Baja California del Norte","Mexicali, Baja California del Norte","San Jose, CA "
1976,Zacatecas,"Tijuana, Baja California del Norte",
1980,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,Zacatecas,"Nogales, Sonora",
1969,"Morelos, Zacatecas","Nogales, Sonora","Los Angeles-Long Beach, CA "
1968,"Mexicali, Baja California del Norte","Nogales, Sonora",
1964,Zacatecas,"Mexicali, Baja California del Norte",
1967,"Mezqital del Oro, Zacatecas","Agua Prieta, Sonora","Los Angeles-Long Beach, CA "
1969,Zacatecas,"Nogales, Sonora",
1972,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1977,Zacatecas,"Tijuana, Baja California del Norte",
1974,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1985,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte",
1980,"Hermosillo, Sonora","Tecate, Baja California del Norte","Merced, CA "
1964,"La Paz, Baja California del Sur","Tijuana, Baja California del Norte","San Diego, CA "
1976,"Mezqital del Oro, Zacatecas","Tijuana, Baja California del Norte","Merced, CA "
1970,Zacatecas,"Nogales, Sonora",
1972,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1974,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte","Fresno, CA "
1980,"Mexicali, Baja California del Norte","Mexicali, Baja California del Norte",
1975,"Jalpa, Zacatecas","Mexicali, Baja California del Norte",
1970,"Mexicali, Baja California del Norte","San Luis Río Colorado, Sonora","Los Angeles-Long Beach, CA "
1973,Zacatecas,"Mexicali, Baja California del Norte","Merced, CA "
1972,"Mezqital del Oro, Zacatecas","Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA "
1966,Zacatecas,"Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1973,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1958,"Moyahua de Estrada, Zacatecas","Mexicali, Baja California del Norte",
1981,"Moyahua de Estrada, Zacatecas","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1970,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1941,"Moyahua de Estrada, Zacatecas","Mexicali, Baja California del Norte","Merced, CA "
1975,Zacatecas,"Tijuana, Baja California del Norte",
1967,"Tuxpan, Nayarit","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA "
1950,"Mexicali, Baja California del Norte","Mexicali, Baja California del Norte",
1946,Zacatecas,"Mexicali, Baja California del Norte",
1972,"Mezqital del Oro, Zacatecas","San Luis Río Colorado, Sonora",
1971,Zacatecas,"Tijuana, Baja California del Norte","Fresno, CA "
1975,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1977,Zacatecas,"Tijuana, Baja California del Norte","Fresno, CA "
1938,"Culiacan, Sinaloa","Mexicali, Baja California del Norte","Santa Cruz-Watsonville, CA "
1973,Zacatecas,"Tijuana, Baja California del Norte","Sacramento, CA "
1989,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1976,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1987,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1970,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,Zacatecas,"Tijuana, Baja California del Norte","Bakersfield, CA "
1961,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte","San Francisco, CA "
1972,"Nochistlán de Mejía, Zacatecas","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1975,Zacatecas,"Tijuana, Baja California del Norte","San Diego, CA "
1978,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1972,Zacatecas,"Tijuana, Baja California del Norte",
1976,", Zacatecas","Tijuana, Baja California del Norte",
1988,,"Tijuana, Baja California del Norte","Bakersfield, CA "
1979,Zacatecas,"Tijuana, Baja California del Norte","Fresno, CA "
1977,"Tuxpan, Nayarit","Tijuana, Baja California del Norte","Sacramento, CA "
1985,"Apozol, Zacatecas","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1973,Zacatecas,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA "
1945,"Mexicali, Baja California del Norte","Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
1977,"Mexicali, Baja California del Norte","Tijuana, Baja California del Norte",
1980,Zacatecas,"Tijuana, Baja California del Norte","Orange County, CA "
1975,Zacatecas,"Mexicali, Baja California del Norte","Fresno, CA "
1984,Zacatecas,"Mexicali, Baja California del Norte","Fresno, CA "
1976,"La Paz, Baja California del Sur","Tijuana, Baja California del Norte","Fresno, CA "
1955,"Mexicali, Baja California del Norte","Mexicali, Baja California del Norte","Riverside-San Bernardino, CA "
