crsyr1,origin_loc,cross_loc,us_loc,origin_coords,cross_coords,us_coords
1987,"Marquelia, Jalisco","Tijuana, Baja California del Norte","San Diego, CA ",Fail,"(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1973,"Hermosillo, Sonora","Tijuana, Baja California del Norte","San Diego, CA ","(-110.969219, 29.0948291)","(-116.964662, 32.5010188)","(-117.1627728, 32.7174202)"
1976,"Ciudad de México, Distrito Federal","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-99.1248161, 19.3997047)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1979,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1978,"Atenguillo, Jalisco","Tijuana, Baja California del Norte","Santa Barbara-Santa Maria-Lompoc, CA ","(-104.53021583363618, 20.33939015)","(-116.964662, 32.5010188)","(-120.508049, 34.675904)"
1979,Jalisco,"Tecate, Baja California del Norte","Fresno, CA ","(-103.6666671, 20.3333331)","(-116.6298787, 32.5653831)","(-119.7848307, 36.7394421)"
1971,Jalisco,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1984,"Marquelia, Jalisco","Tijuana, Baja California del Norte","Orange County, CA ",Fail,"(-116.964662, 32.5010188)","(-117.8704931, 33.7500378)"
1975,,"Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(11.0480288, 46.3144754)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1962,Jalisco,"Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-121.7658825, 36.8994945)"
1984,"Tijuana, Baja California del Norte","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-116.964662, 32.5010188)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1965,Jalisco,"Mexicali, Baja California del Norte","Los Angeles-Long Beach, CA ","(-103.6666671, 20.3333331)","(-115.448325, 32.6248622)","(-118.2400932, 33.7689643)"
1984,"Mazatlán, Sinaloa","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-106.4153144, 23.2313053)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
1978,Jalisco,"Tijuana, Baja California del Norte","Santa Cruz-Watsonville, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-121.7658825, 36.8994945)"
1990,"Atenguillo, Jalisco","Tijuana, Baja California del Norte","Riverside-San Bernardino, CA ","(-104.53021583363618, 20.33939015)","(-116.964662, 32.5010188)","(-117.3455744, 34.0109957)"
1990,Jalisco,"Tijuana, Baja California del Norte","Fresno, CA ","(-103.6666671, 20.3333331)","(-116.964662, 32.5010188)","(-119.7848307, 36.7394421)"
1970,Jalisco,"Mexicali, Baja California del Norte","San Francisco, CA ","(-103.6666671, 20.3333331)","(-115.448325, 32.6248622)","(-122.419906, 37.7790262)"
1986,"La Yesca, Nayarit","Tijuana, Baja California del Norte","Los Angeles-Long Beach, CA ","(-104.8366738, 21.5842142)","(-116.964662, 32.5010188)","(-118.2400932, 33.7689643)"
